tag,accuracy,precision,recall,f1,roc_auc,pr_auc,y_proba
WBCE(2.0)_lr0.0005_dp0.25,0.7853333333333333,0.5135135135135135,0.5584024114544084,0.5350180505415163,0.7756163411126884,0.561808022259024,[0.1578307  0.24864104 0.2861042  ... 0.1126238  0.2698286  0.1673918 ]
WBCE(2.5)_lr0.0005_dp0.25,0.7791666666666667,0.5006578947368421,0.573474001507159,0.5345978222690552,0.7754219392101784,0.5602293849324456,[0.18324554 0.3117715  0.3435442  ... 0.11892058 0.34557182 0.2429083 ]
"Focal(0.75,1.5)_lr0.001_dp0.2",0.7711666666666667,0.4857320099255583,0.5900527505651846,0.5328342973800613,0.7747452012724898,0.5581311550390793,[0.37807053 0.41934162 0.4372099  ... 0.34361854 0.43797266 0.40909767]
"Focal(0.65,2.0)_lr0.001_dp0.2",0.7821666666666667,0.5068027210884354,0.5614167294649586,0.532713621737576,0.7743365621841776,0.5579291778324265,[0.36077857 0.39886978 0.4171601  ... 0.30221966 0.40771547 0.38846117]
WBCE(1.5)_lr0.0005_dp0.25,0.7806666666666666,0.5037137069547603,0.5621703089675961,0.5313390313390314,0.7765057036115214,0.5621685286183049,[0.12277203 0.20138791 0.24633664 ... 0.09793411 0.26688603 0.15292796]
"Focal(0.65,3.0)_lr0.001_dp0.2",0.7888333333333334,0.5218340611353712,0.5403165033911078,0.5309144761199556,0.772294898736041,0.5569114677919034,[0.39006406 0.43148604 0.43487734 ... 0.35764313 0.4409131  0.39898074]
WBCE(2.0)_lr0.0005_dp0.15,0.7881666666666667,0.5203784570596798,0.5388093443858327,0.5294335431321733,0.773619992417439,0.5578109302829382,[0.1778173  0.21906589 0.30686718 ... 0.12372248 0.29709995 0.2097556 ]
"Focal(0.85,1.5)_lr0.001_dp0.2",0.7745,0.49160206718346255,0.573474001507159,0.5293913043478261,0.7722186215897221,0.5586705869240559,[0.43195742 0.50524926 0.49267548 ... 0.4060963  0.5219876  0.47553518]
WBCE(2.5)_lr0.001_dp0.15,0.789,0.5223771093176816,0.5365486058779201,0.5293680297397769,0.7735620185609874,0.556429973185583,[0.19921549 0.30068785 0.37455142 ... 0.14882231 0.33996642 0.23352717]
"Focal(0.75,2.0)_lr0.001_dp0.2",0.7858333333333334,0.514978601997147,0.5440844009042954,0.5291315500183217,0.7723539207985202,0.5529132879677473,[0.3900852  0.43897882 0.44011548 ... 0.36134008 0.460152   0.43593508]
