Model,True,Predicted_Proba
Random Forest,0,0.27145971418174336
Random Forest,0,0.30455833604268906
Random Forest,0,0.34508909503529034
Random Forest,1,0.23146084476725812
Random Forest,0,0.09122696719162685
Random Forest,0,0.4483825019664021
Random Forest,0,0.2869448411229085
Random Forest,0,0.08458972862670362
Random Forest,0,0.2149878909922418
Random Forest,0,0.17271939086941568
Random Forest,0,0.36068506918291937
Random Forest,0,0.6778327469307882
Random Forest,1,0.6025642178632133
Random Forest,0,0.1813360921802289
Random Forest,0,0.1565532182324071
Random Forest,0,0.7416335961997792
Random Forest,0,0.16239604034064734
Random Forest,1,0.5103753255078004
Random Forest,0,0.17172807518099328
Random Forest,0,0.4429976131364563
Random Forest,0,0.0978100437080731
Random Forest,1,0.3015106055485289
Random Forest,0,0.26624994434703203
Random Forest,0,0.32620645340511323
Random Forest,1,0.511492173682388
Random Forest,0,0.30139488433945916
Random Forest,0,0.30202938162416687
Random Forest,0,0.2161238473073799
Random Forest,1,0.9269343315053624
Random Forest,0,0.4720210405444757
Random Forest,1,0.3152518285165508
Random Forest,0,0.40536488346235544
Random Forest,1,0.9343313968453637
Random Forest,0,0.3520452736940879
Random Forest,0,0.19955964565302622
Random Forest,0,0.1874021573136436
Random Forest,0,0.2628183264683468
Random Forest,1,0.2753911022678838
Random Forest,0,0.18171374422896094
Random Forest,1,0.7055187348560047
Random Forest,0,0.27289403335165574
Random Forest,0,0.89052602184834
Random Forest,0,0.40437512812118653
Random Forest,0,0.28440438239983923
Random Forest,0,0.16734675927007117
Random Forest,0,0.14265345490887754
Random Forest,0,0.27298464308675785
Random Forest,0,0.800917767962357
Random Forest,0,0.1944829716115009
Random Forest,0,0.5038381862127996
Random Forest,0,0.3897995169846789
Random Forest,0,0.14316332821865266
Random Forest,1,0.8670706273494578
Random Forest,1,0.8016558549279154
Random Forest,1,0.2789152151721364
Random Forest,0,0.1368526693235447
Random Forest,0,0.2718886853490767
Random Forest,0,0.10932400987405994
Random Forest,0,0.09849997345764937
Random Forest,1,0.9242071660375474
Random Forest,0,0.2787040682837477
Random Forest,1,0.7030961962388353
Random Forest,1,0.4501396548092185
Random Forest,0,0.3433252271128228
Random Forest,0,0.35354831474572007
Random Forest,0,0.1327376616021225
Random Forest,1,0.651051967510973
Random Forest,0,0.7614088584739835
Random Forest,1,0.11921383202796623
Random Forest,1,0.3166269024476886
Random Forest,1,0.31242803672035985
Random Forest,0,0.2307897442110558
Random Forest,0,0.09357864303716092
Random Forest,1,0.7058214857102268
Random Forest,0,0.2941508798190701
Random Forest,0,0.39119171611437553
Random Forest,0,0.188685273735678
Random Forest,0,0.1834934583701134
Random Forest,1,0.4459859510277213
Random Forest,0,0.22746471379662192
Random Forest,1,0.6258455487495774
Random Forest,0,0.10943787696351484
Random Forest,0,0.404960396656637
Random Forest,0,0.31430871871844146
Random Forest,1,0.6897592929696722
Random Forest,1,0.5041533899811569
Random Forest,0,0.6947058787976518
Random Forest,0,0.20926657997907433
Random Forest,0,0.2691100443601299
Random Forest,0,0.37388850325439393
Random Forest,0,0.31648225649744366
Random Forest,0,0.2570358510539546
Random Forest,0,0.18097463669081737
Random Forest,1,0.9414131080956722
Random Forest,1,0.5531050783844192
Random Forest,0,0.24039330061194203
Random Forest,0,0.384898003004875
Random Forest,0,0.7265154002530856
Random Forest,1,0.5155550913091009
Random Forest,0,0.1254609236032315
Random Forest,0,0.3119013134527535
Random Forest,0,0.44991972316332124
Random Forest,0,0.2772360204103568
Random Forest,0,0.18939432357979932
Random Forest,1,0.4834865290670596
Random Forest,0,0.41822300155813535
Random Forest,1,0.401989010071336
Random Forest,0,0.09255295909766356
Random Forest,0,0.22229724844459117
Random Forest,0,0.2535782917020663
Random Forest,0,0.583493913188343
Random Forest,0,0.6122294803793078
Random Forest,0,0.32137130165695355
Random Forest,0,0.24517260761899287
Random Forest,0,0.274199271870607
Random Forest,1,0.3708326603288779
Random Forest,0,0.5230710886497029
Random Forest,0,0.3630282210909588
Random Forest,0,0.23709692103799632
Random Forest,1,0.8601535138206896
Random Forest,0,0.1126235670389968
Random Forest,0,0.46015547659551037
Random Forest,1,0.8676749372055648
Random Forest,0,0.3094478240224871
Random Forest,0,0.1058341602547437
Random Forest,0,0.17763269933076864
Random Forest,0,0.20612499870634501
Random Forest,0,0.8374660073467518
Random Forest,0,0.31866609089419956
Random Forest,0,0.5217584382862746
Random Forest,1,0.8126424003467383
Random Forest,1,0.6575134898493934
Random Forest,0,0.11799227512454624
Random Forest,0,0.16464261826976176
Random Forest,1,0.9731452098227698
Random Forest,0,0.28482767856802604
Random Forest,0,0.6122166454684729
Random Forest,0,0.34528114312162983
Random Forest,0,0.21143894899218904
Random Forest,0,0.12451015720300015
Random Forest,0,0.14197197487976634
Random Forest,0,0.2807788373749539
Random Forest,1,0.8992617259563211
Random Forest,0,0.3734683451959354
Random Forest,0,0.15177742326904797
Random Forest,0,0.40626521247487646
Random Forest,1,0.8932932007427457
Random Forest,0,0.112426723664355
Random Forest,1,0.21622284180868537
Random Forest,0,0.5330350289182737
Random Forest,1,0.8471415157560958
Random Forest,0,0.258926987363019
Random Forest,0,0.3730568573729136
Random Forest,0,0.2765788426207778
Random Forest,1,0.8882771497970317
Random Forest,0,0.10501521474227499
Random Forest,0,0.18565459519017316
Random Forest,0,0.22526450633579403
Random Forest,0,0.4728537441924284
Random Forest,0,0.45038740524376436
Random Forest,0,0.5603096816480305
Random Forest,1,0.8387276000010846
Random Forest,0,0.29153905532413976
Random Forest,0,0.2608653283983056
Random Forest,0,0.3334343318124279
Random Forest,0,0.33475094232213365
Random Forest,0,0.11910002467935515
Random Forest,0,0.19622267141769004
Random Forest,0,0.2844611085107145
Random Forest,0,0.21682122835195905
Random Forest,0,0.3253155583424002
Random Forest,0,0.6070083994159399
Random Forest,0,0.36943498656437584
Random Forest,0,0.12900303885179565
Random Forest,0,0.33385156382593356
Random Forest,1,0.8551158355904954
Random Forest,0,0.4927642671953786
Random Forest,1,0.47391573713982965
Random Forest,0,0.2139011913819455
Random Forest,0,0.5618658062328865
Random Forest,1,0.6623331574698483
Random Forest,0,0.5675171053482898
Random Forest,1,0.337786670815978
Random Forest,1,0.9139178629096064
Random Forest,0,0.27406294926518826
Random Forest,0,0.36716898585879953
Random Forest,0,0.14628355152023606
Random Forest,1,0.7847455313696825
Random Forest,0,0.2716244666001554
Random Forest,0,0.322592555929075
Random Forest,1,0.5309305905604944
Random Forest,0,0.08055984729481792
Random Forest,0,0.1138236777177075
Random Forest,0,0.3608664931364594
Random Forest,1,0.6561162197975812
Random Forest,0,0.6485811422169783
Random Forest,0,0.1921344855722182
Random Forest,0,0.11629910167072816
Random Forest,0,0.2622449052957792
