Model,Threshold,Accuracy,Precision,Recall,F1-score
Random Forest,0.5,0.7922,0.5285,0.5584,0.5431
Random Forest,0.4,0.745,0.4471,0.6466,0.5287
Random Forest,0.35,0.6932,0.3924,0.7061,0.5044
Random Forest,0.3,0.623,0.3461,0.792,0.4817
Random Forest,0.25,0.5382,0.3088,0.8787,0.457
Random Forest,0.2,0.4367,0.2727,0.9284,0.4216
Gradient Boosting,0.5,0.818,0.6594,0.3662,0.4709
Gradient Boosting,0.4,0.812,0.601,0.4461,0.5121
Gradient Boosting,0.35,0.8017,0.559,0.4891,0.5217
Gradient Boosting,0.3,0.7907,0.5252,0.5569,0.5406
Gradient Boosting,0.25,0.7687,0.4817,0.6066,0.537
Gradient Boosting,0.2,0.7297,0.4287,0.6684,0.5224
XGBoost,0.5,0.7668,0.4785,0.6051,0.5344
XGBoost,0.4,0.71,0.4064,0.676,0.5076
XGBoost,0.35,0.6725,0.3765,0.7332,0.4976
XGBoost,0.3,0.6247,0.3458,0.7815,0.4794
XGBoost,0.25,0.564,0.3157,0.832,0.4577
XGBoost,0.2,0.5055,0.2948,0.8877,0.4426
